"GENERA","N_NT_MISMATCH_SPACER","COUNT","TOTAL","PROP","COUNT_PHAST","COUNT_SPACER","COUNT_HIT","N_MM0","N_MM7","N_PHAST","N_SPACER","N_HIT","N_PROPHAGE_MISMATCH","ANY_MATCH","TOTAL_SHUFFLED","N_GENOME","N_GENOME_PHAST","PROP_GENOME_PHAST","SD_GENOME_PHAST"
"Bacteroides",2,5,54,0.0925925925925926,81,2171,77,15,39,81,2171,77,17,17,1,793,37,0.0466582597730139,0.00748948540533872
"Bifidobacterium",2,65,451,0.144124168514412,59,4722,672,151,300,59,4722,672,35,35,0,914,30,0.0328227571115974,0.00589342099973157
"Bifidobacterium",4,49,451,0.108647450110865,59,4722,672,151,300,59,4722,672,35,35,0,914,30,0.0328227571115974,0.00589342099973157
"Bifidobacterium",5,66,451,0.146341463414634,59,4722,672,151,300,59,4722,672,35,35,0,914,30,0.0328227571115974,0.00589342099973157
"Bifidobacterium",1,63,451,0.139689578713969,59,4722,672,151,300,59,4722,672,35,35,1,914,30,0.0328227571115974,0.00589342099973157
"Bifidobacterium",0,151,451,0.334811529933481,59,4722,672,151,300,59,4722,672,35,35,0,914,30,0.0328227571115974,0.00589342099973157
"Bifidobacterium",3,57,451,0.126385809312639,59,4722,672,151,300,59,4722,672,35,35,0,914,30,0.0328227571115974,0.00589342099973157
"Bilophila",5,0,2,0,21,45,2,2,0,21,45,2,0,2,0,3,2,0.666666666666667,0.272165526975909
"Bilophila",1,0,2,0,21,45,2,2,0,21,45,2,0,2,26,3,2,0.666666666666667,0.272165526975909
"Bilophila",4,0,2,0,21,45,2,2,0,21,45,2,0,2,0,3,2,0.666666666666667,0.272165526975909
"Bilophila",3,0,2,0,21,45,2,2,0,21,45,2,0,2,0,3,2,0.666666666666667,0.272165526975909
"Bilophila",2,0,2,0,21,45,2,2,0,21,45,2,0,2,0,3,2,0.666666666666667,0.272165526975909
"Bilophila",0,2,2,1,21,45,2,2,0,21,45,2,0,2,0,3,2,0.666666666666667,0.272165526975909
"Blautia",1,0,2,0,17,598,4,0,2,17,598,4,2,2,34,155,2,0.0129032258064516,0.00906490309904593
